Column Name,Data Type
NM_NEW_VEHICLE_ORDER_GENERAL_DISTRIBUTOR_STOCK_AGEING_NUMBER,float64
DT_FINAL_CUSTOMER_DELIVERY_REQUESTED_DATE,object
DT_EXPECTED_DELIVERY_TO_FINAL_CUSTOMER_DATE,object
DT_SALES_ORDER_EXPECTED_DELIVERY_TO_NETWORK_SUBJECT_DATE,object
DT_CONTRACTUAL_DELIVERY_TO_FINAL_CUSTOMER_DATE,object
GN_FINAL_CUSTOMER_ORDER_GUID,object
GN_DESTINATION_LOGISTIC_COMPOUND_GUID,object
CD_DESTINATION_LOGISTIC_COMPOUND_CODE,object
GN_DESTINATION_LOGISTIC_COMPOUND_NAME,object
GN_DESTINATION_LOGISTIC_COMPOUND_TYPE_GUID,object
CD_DESTINATION_LOGISTIC_COMPOUND_TYPE_CODE,object
FL_IS_VEHICLE_IN_MARKET_COMPOUND_INVOICEABLE_FLAG,float64
CD_SOURCE_SYSTEM_BLOCK_REASON_TYPE,float64
CD_SOURCE_SYSTEM_BLOCK_REASON_CODE,object
GN_SOURCE_SYSTEM_BLOCK_REASON_NAME,object
CD_SOURCE_SYSTEM_VEHICLE_SHOWROOM_STATUS_CODE,object
CD_SOURCE_SYSTEM_VEHICLE_DEMONSTRATION_STATUS_CODE,object
GN_NETWORK_SUBJECT_ORDER_GUID,object
CD_CUSTOMER_SALES_CHANNEL_ORIGINAL_CODE,object
GN_CUSTOMER_SALES_CHANNEL_ORIGINAL_NAME,object
CD_CUSTOMER_SALES_SUBCHANNEL_ORIGINAL_CODE,object
GN_VEHICLE_RENT_A_CAR_FLEET_DOCUMENTS_DISPATCH_TRACKING_CODE,float64
CD_GLOBAL_FINAL_CUSTOMER_ORDER_CODE,float64
DT_FIRST_ARRIVAL_AT_DESTINATION_BY_TRANSPORTER_DATE,object
DT_INVOICE_CANCELLATION_DATE,object
GN_CUSTOMER_SALES_CHANNEL_GUID,object
GN_CUSTOMER_SALES_CHANNEL_NAME,object
GN_CUSTOMER_SALES_SUBCHANNEL_GUID,object
GN_CUSTOMER_SALES_SUBCHANNEL_ORIGINAL_NAME,object
GN_DISTRIBUTION_SALES_CHANNEL_GUID,object
CD_DISTRIBUTION_SALES_CHANNEL_ORIGINAL_CODE,object
GN_DISTRIBUTION_SALES_CHANNEL_ORIGINAL_NAME,object
GN_DISTRIBUTION_SALES_SUBCHANNEL_GUID,object
CD_DISTRIBUTION_SALES_SUBCHANNEL_ORIGINAL_CODE,float64
GN_DISTRIBUTION_SALES_SUBCHANNEL_ORIGINAL_NAME,object
